split,raw_label,plant,disease_label,filename,filepath,relative_filepath,class_id
train,apple black rot,apple,black rot,apple_black_rot_1.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_1.jpg,train/apple black rot/apple_black_rot_1.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_11.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_11.jpg,train/apple black rot/apple_black_rot_11.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_12.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_12.jpg,train/apple black rot/apple_black_rot_12.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_143.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_143.jpg,train/apple black rot/apple_black_rot_143.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_144.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_144.jpg,train/apple black rot/apple_black_rot_144.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_15.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_15.jpg,train/apple black rot/apple_black_rot_15.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_167.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_167.jpg,train/apple black rot/apple_black_rot_167.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_175.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_175.jpg,train/apple black rot/apple_black_rot_175.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_18.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_18.jpg,train/apple black rot/apple_black_rot_18.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_187.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_187.jpg,train/apple black rot/apple_black_rot_187.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_28.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_28.jpg,train/apple black rot/apple_black_rot_28.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_3.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_3.jpg,train/apple black rot/apple_black_rot_3.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_34.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_34.jpg,train/apple black rot/apple_black_rot_34.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_38.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_38.jpg,train/apple black rot/apple_black_rot_38.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_4.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_4.jpg,train/apple black rot/apple_black_rot_4.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_44.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_44.jpg,train/apple black rot/apple_black_rot_44.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_53.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_53.jpg,train/apple black rot/apple_black_rot_53.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_6.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_6.jpg,train/apple black rot/apple_black_rot_6.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_61.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_61.jpg,train/apple black rot/apple_black_rot_61.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_69.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_69.jpg,train/apple black rot/apple_black_rot_69.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_7.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_7.jpg,train/apple black rot/apple_black_rot_7.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_74.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_74.jpg,train/apple black rot/apple_black_rot_74.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_8.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_8.jpg,train/apple black rot/apple_black_rot_8.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_80.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_80.jpg,train/apple black rot/apple_black_rot_80.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_9.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_9.jpg,train/apple black rot/apple_black_rot_9.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_google_0000.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_google_0000.jpg,train/apple black rot/apple_black_rot_google_0000.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_google_0001.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_google_0001.jpg,train/apple black rot/apple_black_rot_google_0001.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_google_0002.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_google_0002.jpg,train/apple black rot/apple_black_rot_google_0002.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_google_0003.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_google_0003.jpg,train/apple black rot/apple_black_rot_google_0003.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_google_0005.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_google_0005.jpg,train/apple black rot/apple_black_rot_google_0005.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_google_0008.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_google_0008.jpg,train/apple black rot/apple_black_rot_google_0008.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_google_0012.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_google_0012.jpg,train/apple black rot/apple_black_rot_google_0012.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_google_0015.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_google_0015.jpg,train/apple black rot/apple_black_rot_google_0015.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_google_0022.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_google_0022.jpg,train/apple black rot/apple_black_rot_google_0022.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_google_0024.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_google_0024.jpg,train/apple black rot/apple_black_rot_google_0024.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_google_0026.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_google_0026.jpg,train/apple black rot/apple_black_rot_google_0026.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_google_0028.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_google_0028.jpg,train/apple black rot/apple_black_rot_google_0028.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_google_0033.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_google_0033.jpg,train/apple black rot/apple_black_rot_google_0033.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_google_0037.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_google_0037.jpg,train/apple black rot/apple_black_rot_google_0037.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_google_0045.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_google_0045.jpg,train/apple black rot/apple_black_rot_google_0045.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_google_0048.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_google_0048.jpg,train/apple black rot/apple_black_rot_google_0048.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_google_0050.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_google_0050.jpg,train/apple black rot/apple_black_rot_google_0050.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_google_0051.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_google_0051.jpg,train/apple black rot/apple_black_rot_google_0051.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_google_0055.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_google_0055.jpg,train/apple black rot/apple_black_rot_google_0055.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_google_0062.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_google_0062.jpg,train/apple black rot/apple_black_rot_google_0062.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_google_0063.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_google_0063.jpg,train/apple black rot/apple_black_rot_google_0063.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_google_0064.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_google_0064.jpg,train/apple black rot/apple_black_rot_google_0064.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_google_0073.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_google_0073.jpg,train/apple black rot/apple_black_rot_google_0073.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_google_0074.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_google_0074.jpg,train/apple black rot/apple_black_rot_google_0074.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_google_0077.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_google_0077.jpg,train/apple black rot/apple_black_rot_google_0077.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_google_0078.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_google_0078.jpg,train/apple black rot/apple_black_rot_google_0078.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_google_0080.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_google_0080.jpg,train/apple black rot/apple_black_rot_google_0080.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_google_0085.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_google_0085.jpg,train/apple black rot/apple_black_rot_google_0085.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_google_0093.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_google_0093.jpg,train/apple black rot/apple_black_rot_google_0093.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_google_0097.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_google_0097.jpg,train/apple black rot/apple_black_rot_google_0097.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_google_0101.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_google_0101.jpg,train/apple black rot/apple_black_rot_google_0101.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_google_0112.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_google_0112.jpg,train/apple black rot/apple_black_rot_google_0112.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_google_0131.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_google_0131.jpg,train/apple black rot/apple_black_rot_google_0131.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_google_0133.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_google_0133.jpg,train/apple black rot/apple_black_rot_google_0133.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_google_0136.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_google_0136.jpg,train/apple black rot/apple_black_rot_google_0136.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_google_0137.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_google_0137.jpg,train/apple black rot/apple_black_rot_google_0137.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_google_0154.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_google_0154.jpg,train/apple black rot/apple_black_rot_google_0154.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_google_0156.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_google_0156.jpg,train/apple black rot/apple_black_rot_google_0156.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_google_0157.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_google_0157.jpg,train/apple black rot/apple_black_rot_google_0157.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_google_0160.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_google_0160.jpg,train/apple black rot/apple_black_rot_google_0160.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_google_0166.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_google_0166.jpg,train/apple black rot/apple_black_rot_google_0166.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_google_0177.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_google_0177.jpg,train/apple black rot/apple_black_rot_google_0177.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_google_0190.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_google_0190.jpg,train/apple black rot/apple_black_rot_google_0190.jpg,8
train,apple black rot,apple,black rot,apple_black_rot_google_0221.jpg,/content/drive/My Drive/Plant Disease/train/apple black rot/apple_black_rot_google_0221.jpg,train/apple black rot/apple_black_rot_google_0221.jpg,8
train,apple mosaic virus,apple,mosaic virus,apple_mosaic_virus_10.jpg,/content/drive/My Drive/Plant Disease/train/apple mosaic virus/apple_mosaic_virus_10.jpg,train/apple mosaic virus/apple_mosaic_virus_10.jpg,27
train,apple mosaic virus,apple,mosaic virus,apple_mosaic_virus_100.jpg,/content/drive/My Drive/Plant Disease/train/apple mosaic virus/apple_mosaic_virus_100.jpg,train/apple mosaic virus/apple_mosaic_virus_100.jpg,27
train,apple mosaic virus,apple,mosaic virus,apple_mosaic_virus_13.jpg,/content/drive/My Drive/Plant Disease/train/apple mosaic virus/apple_mosaic_virus_13.jpg,train/apple mosaic virus/apple_mosaic_virus_13.jpg,27
train,apple mosaic virus,apple,mosaic virus,apple_mosaic_virus_16.jpg,/content/drive/My Drive/Plant Disease/train/apple mosaic virus/apple_mosaic_virus_16.jpg,train/apple mosaic virus/apple_mosaic_virus_16.jpg,27
train,apple mosaic virus,apple,mosaic virus,apple_mosaic_virus_17.jpg,/content/drive/My Drive/Plant Disease/train/apple mosaic virus/apple_mosaic_virus_17.jpg,train/apple mosaic virus/apple_mosaic_virus_17.jpg,27
train,apple mosaic virus,apple,mosaic virus,apple_mosaic_virus_18.jpg,/content/drive/My Drive/Plant Disease/train/apple mosaic virus/apple_mosaic_virus_18.jpg,train/apple mosaic virus/apple_mosaic_virus_18.jpg,27
train,apple mosaic virus,apple,mosaic virus,apple_mosaic_virus_19.jpg,/content/drive/My Drive/Plant Disease/train/apple mosaic virus/apple_mosaic_virus_19.jpg,train/apple mosaic virus/apple_mosaic_virus_19.jpg,27
train,apple mosaic virus,apple,mosaic virus,apple_mosaic_virus_20.jpg,/content/drive/My Drive/Plant Disease/train/apple mosaic virus/apple_mosaic_virus_20.jpg,train/apple mosaic virus/apple_mosaic_virus_20.jpg,27
train,apple mosaic virus,apple,mosaic virus,apple_mosaic_virus_21.jpg,/content/drive/My Drive/Plant Disease/train/apple mosaic virus/apple_mosaic_virus_21.jpg,train/apple mosaic virus/apple_mosaic_virus_21.jpg,27
train,apple mosaic virus,apple,mosaic virus,apple_mosaic_virus_22.jpg,/content/drive/My Drive/Plant Disease/train/apple mosaic virus/apple_mosaic_virus_22.jpg,train/apple mosaic virus/apple_mosaic_virus_22.jpg,27
train,apple mosaic virus,apple,mosaic virus,apple_mosaic_virus_23.jpg,/content/drive/My Drive/Plant Disease/train/apple mosaic virus/apple_mosaic_virus_23.jpg,train/apple mosaic virus/apple_mosaic_virus_23.jpg,27
train,apple mosaic virus,apple,mosaic virus,apple_mosaic_virus_25.jpg,/content/drive/My Drive/Plant Disease/train/apple mosaic virus/apple_mosaic_virus_25.jpg,train/apple mosaic virus/apple_mosaic_virus_25.jpg,27
train,apple mosaic virus,apple,mosaic virus,apple_mosaic_virus_28.jpg,/content/drive/My Drive/Plant Disease/train/apple mosaic virus/apple_mosaic_virus_28.jpg,train/apple mosaic virus/apple_mosaic_virus_28.jpg,27
train,apple mosaic virus,apple,mosaic virus,apple_mosaic_virus_29.jpg,/content/drive/My Drive/Plant Disease/train/apple mosaic virus/apple_mosaic_virus_29.jpg,train/apple mosaic virus/apple_mosaic_virus_29.jpg,27
train,apple mosaic virus,apple,mosaic virus,apple_mosaic_virus_31.jpg,/content/drive/My Drive/Plant Disease/train/apple mosaic virus/apple_mosaic_virus_31.jpg,train/apple mosaic virus/apple_mosaic_virus_31.jpg,27
train,apple mosaic virus,apple,mosaic virus,apple_mosaic_virus_34.jpg,/content/drive/My Drive/Plant Disease/train/apple mosaic virus/apple_mosaic_virus_34.jpg,train/apple mosaic virus/apple_mosaic_virus_34.jpg,27
train,apple mosaic virus,apple,mosaic virus,apple_mosaic_virus_35.jpg,/content/drive/My Drive/Plant Disease/train/apple mosaic virus/apple_mosaic_virus_35.jpg,train/apple mosaic virus/apple_mosaic_virus_35.jpg,27
train,apple mosaic virus,apple,mosaic virus,apple_mosaic_virus_38.jpg,/content/drive/My Drive/Plant Disease/train/apple mosaic virus/apple_mosaic_virus_38.jpg,train/apple mosaic virus/apple_mosaic_virus_38.jpg,27
train,apple mosaic virus,apple,mosaic virus,apple_mosaic_virus_39.jpg,/content/drive/My Drive/Plant Disease/train/apple mosaic virus/apple_mosaic_virus_39.jpg,train/apple mosaic virus/apple_mosaic_virus_39.jpg,27
train,apple mosaic virus,apple,mosaic virus,apple_mosaic_virus_40.jpg,/content/drive/My Drive/Plant Disease/train/apple mosaic virus/apple_mosaic_virus_40.jpg,train/apple mosaic virus/apple_mosaic_virus_40.jpg,27
train,apple mosaic virus,apple,mosaic virus,apple_mosaic_virus_41.jpg,/content/drive/My Drive/Plant Disease/train/apple mosaic virus/apple_mosaic_virus_41.jpg,train/apple mosaic virus/apple_mosaic_virus_41.jpg,27
train,apple mosaic virus,apple,mosaic virus,apple_mosaic_virus_44.jpg,/content/drive/My Drive/Plant Disease/train/apple mosaic virus/apple_mosaic_virus_44.jpg,train/apple mosaic virus/apple_mosaic_virus_44.jpg,27
train,apple mosaic virus,apple,mosaic virus,apple_mosaic_virus_46.jpg,/content/drive/My Drive/Plant Disease/train/apple mosaic virus/apple_mosaic_virus_46.jpg,train/apple mosaic virus/apple_mosaic_virus_46.jpg,27
train,apple mosaic virus,apple,mosaic virus,apple_mosaic_virus_47.jpg,/content/drive/My Drive/Plant Disease/train/apple mosaic virus/apple_mosaic_virus_47.jpg,train/apple mosaic virus/apple_mosaic_virus_47.jpg,27
train,apple mosaic virus,apple,mosaic virus,apple_mosaic_virus_48.jpg,/content/drive/My Drive/Plant Disease/train/apple mosaic virus/apple_mosaic_virus_48.jpg,train/apple mosaic virus/apple_mosaic_virus_48.jpg,27
